data,pm25
2020-01-01,29.04
2020-01-02,29.04
2020-01-03,29.04
2020-01-04,29.04
2020-01-05,29.04
2020-01-06,29.04
2020-01-07,29.04
2020-01-08,29.04
2020-01-09,29.04
2020-01-10,29.04
2020-01-11,29.04
2020-01-12,29.04
2020-01-13,29.04
2020-01-14,29.04
2020-01-15,29.04
2020-01-16,29.04
2020-01-17,29.04
2020-01-18,29.04
2020-01-19,29.04
2020-01-20,29.04
2020-01-21,29.04
2020-01-22,29.04
2020-01-23,29.04
2020-01-24,29.04
2020-01-25,29.04
2020-01-26,29.04
2020-01-27,29.04
2020-01-28,29.04
2020-01-29,29.04
2020-01-30,29.04
2020-01-31,29.04
2020-02-01,28.46
2020-02-02,28.46
2020-02-03,28.46
2020-02-04,28.46
2020-02-05,28.46
2020-02-06,28.46
2020-02-07,28.46
2020-02-08,28.46
2020-02-09,28.46
2020-02-10,28.46
2020-02-11,28.46
2020-02-12,28.46
2020-02-13,28.46
2020-02-14,28.46
2020-02-15,28.46
2020-02-16,28.46
2020-02-17,28.46
2020-02-18,28.46
2020-02-19,28.46
2020-02-20,28.46
2020-02-21,28.46
2020-02-22,28.46
2020-02-23,28.46
2020-02-24,28.46
2020-02-25,28.46
2020-02-26,28.46
2020-02-27,28.46
2020-02-28,28.46
2020-02-29,28.46
2020-03-01,25.08
2020-03-02,25.08
2020-03-03,25.08
2020-03-04,25.08
2020-03-05,25.08
2020-03-06,25.08
2020-03-07,25.08
2020-03-08,25.08
2020-03-09,25.08
2020-03-10,25.08
2020-03-11,25.08
2020-03-12,25.08
2020-03-13,25.08
2020-03-14,25.08
2020-03-15,25.08
2020-03-16,25.08
2020-03-17,25.08
2020-03-18,25.08
2020-03-19,25.08
2020-03-20,25.08
2020-03-21,25.08
2020-03-22,25.08
2020-03-23,25.08
2020-03-24,25.08
2020-03-25,25.08
2020-03-26,25.08
2020-03-27,25.08
2020-03-28,25.08
2020-03-29,25.08
2020-03-30,25.08
